DATETIME,M019Value,max_temp,min_temp,humidity,wind_speed,hour,weekday,is_weekend,hour_sin,hour_cos,weekday_sin,weekday_cos,is_holiday,is_extreme_heat,is_extreme_humidity
2023-01-01 00:00:00,-0.14997272522506,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,0.0,6,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 00:15:00,-0.07072326206423189,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,0.25,6,1,0.06540312923014306,0.9978589232386035,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 00:30:00,-0.15547441487828154,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,0.5,6,1,0.13052619222005157,0.9914448613738104,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 00:45:00,-0.26739132802776666,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,0.75,6,1,0.19509032201612825,0.9807852804032304,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 01:00:00,-0.32555895728179507,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,1.0,6,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 01:15:00,-0.37347384479522205,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,1.25,6,1,0.3214394653031616,0.9469301294951057,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 01:30:00,-0.42855753860145174,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,1.5,6,1,0.3826834323650898,0.9238795325112867,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 01:45:00,-0.5311338383037759,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,1.75,6,1,0.44228869021900125,0.8968727415326884,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 02:00:00,-0.5501521227072065,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,2.0,6,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,0
2023-01-01 02:15:00,-0.5979538899328393,0.40504998690538296,-0.003382839295415211,-0.4995099401137137,-0.41414013964226076,2.25,6,1,0.5555702330196022,0.8314696123025452,-0.7818314824680299,0.6234898018587334,1,0,0
